"Pais","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"AFG",NA,NA,31.74112,NA,NA,NA,NA,NA,NA,43.01972
"ALB",NA,NA,96.8453,97.24697,NA,NA,NA,NA,NA,98.14115
"DEU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO",NA,NA,NA,NA,NA,66.03011,NA,NA,NA,NA
"ATG",NA,NA,98.95,NA,NA,NA,98.95,NA,NA,NA
"SAU",NA,NA,NA,NA,94.42634,NA,NA,NA,95.32863,NA
"DZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,81.40784
"ARG",98.98342,98.95497,99.10833,99.10523,99.12195,98.99389,99.17996,99.12501,NA,99.00387
"ARM",NA,NA,99.74441,NA,NA,NA,NA,NA,99.73607,NA
"ABW",NA,96.82264,NA,NA,NA,NA,NA,NA,NA,97.80742
"AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZE",99.75984,99.77114,99.77863,99.77577,99.78936,99.78899,99.78806,99.79006,99.79123,NA
"BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHR",NA,90.9774,NA,NA,NA,NA,NA,97.06668,97.40389,97.46419
"BGD",NA,NA,58.76918,57.86075,61.01554,61.0933,65.13733,72.75872,72.89297,73.9122
"BRB",NA,NA,NA,NA,NA,99.6,NA,NA,NA,NA
"BLR",99.61706,NA,NA,NA,NA,NA,NA,NA,NA,99.75656
"BEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEN",NA,NA,NA,32.94882,NA,NA,NA,NA,NA,42.3624
"BMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN",NA,NA,NA,57.0336,NA,NA,NA,NA,66.56115,NA
"BOL",91.16783,NA,92.22615,94.46057,NA,NA,92.45508,NA,NA,NA
"BIH",NA,NA,98.14204,NA,96.99177,NA,NA,NA,NA,NA
"BWA",NA,NA,NA,NA,86.82318,NA,NA,NA,NA,NA
"BRA",90.29821,90.37918,91.41124,91.33785,91.48424,91.72943,92.0479,92.80844,93.07582,93.2275
"BRN",NA,NA,96.08556,NA,NA,NA,NA,NA,NA,97.21411
"BGR",NA,NA,98.35245,NA,NA,NA,NA,NA,NA,NA
"BFA",NA,NA,NA,NA,NA,34.5994,NA,NA,NA,41.22445
"BDI",NA,NA,NA,NA,NA,61.56973,NA,NA,68.37533,NA
"CPV",NA,NA,NA,85.32779,NA,NA,86.79029,NA,NA,NA
"KHM",73.90003,NA,NA,NA,NA,78.05509,80.52649,NA,NA,NA
"CMR",NA,71.29051,NA,NA,NA,NA,NA,NA,NA,77.07104
"CAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCD",NA,NA,NA,NA,NA,NA,26.00299,22.31155,NA,NA
"CHL",98.55368,NA,96.70301,NA,96.26706,NA,96.87413,NA,96.40228,NA
"CHN",NA,95.12448,NA,NA,NA,NA,NA,NA,NA,96.84089
"CYP",NA,NA,98.67843,NA,NA,NA,NA,NA,NA,NA
"COL",93.24469,93.37233,93.58053,NA,NA,94.18625,94.24505,94.65385,NA,95.09251
"COM",NA,NA,NA,49.19614,NA,NA,NA,NA,NA,58.81702
"COG",NA,NA,79.31117,NA,NA,NA,NA,NA,NA,80.29876
"COD",NA,NA,NA,75.01719,NA,NA,NA,77.04268,NA,NA
"KOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRI",NA,NA,97.40658,NA,NA,NA,NA,NA,NA,97.86379
"CIV",NA,NA,NA,40.98163,NA,43.90842,NA,NA,NA,47.16535
"HRV",NA,NA,99.12536,NA,NA,NA,NA,NA,NA,NA
"CUB",NA,NA,NA,99.75253,NA,NA,NA,NA,NA,NA
"CUW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECU",92.24976,91.85404,91.5869,92.06473,93.29463,94.22264,94.45566,94.35023,92.82979,NA
"EGY",NA,72.04785,NA,73.86559,75.06073,NA,NA,NA,71.16825,NA
"SLV",84.10289,84.49272,85.49399,NA,86.76758,NA,87.96985,88.14177,88.48271,89.0086
"ARE",NA,NA,NA,NA,NA,NA,93.22714,NA,NA,NA
"ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.57052
"SVN",NA,NA,NA,NA,NA,99.7,NA,NA,NA,NA
"ESP",97.67927,97.7489,97.78375,97.89454,98.07913,98.09372,98.14326,98.25051,NA,98.4365
"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EST",NA,NA,99.88579,NA,NA,NA,NA,NA,NA,NA
"SWZ",NA,83.09829,NA,NA,NA,NA,NA,NA,NA,88.41938
"ETH",NA,NA,NA,NA,NA,NA,NA,NA,51.77118,NA
"RUS",NA,99.68427,NA,NA,NA,NA,NA,NA,NA,99.73006
"FJI",NA,NA,NA,NA,NA,NA,NA,NA,99.08211,NA
"PHL",NA,NA,NA,NA,96.398,NA,98.18255,NA,NA,NA
