"Pais","2009F","2010F","2011F","2012F","2013F","2014F","2015F","2016F","2017F","2018F","2009M","2010M","2011M","2012M","2013M","2014M","2015M","2016M","2017M","2018M"
"ABW",41.73998,43.9354,46.84075,45.58515,22.5724,23.03694,21.37302,20.69792,NA,NA,29.13085,31.10764,31.24257,30.5,10.23873,10.14717,9.447,10.66735,NA,NA
"AFG",1.41213,NA,1.82724,NA,NA,3.48702,NA,NA,NA,4.90508,5.97378,NA,5.28638,NA,NA,12.63402,NA,NA,NA,14.2081
"AGO",NA,NA,3.32261,NA,7.84724,NA,7.40054,8.45325,NA,NA,NA,NA,8.99838,NA,9.8508,NA,9.42249,10.23823,NA,NA
"ALB",38.66989,51.57109,58.23014,69.71962,76.31651,78.31959,73.53012,70.07677,69.81036,67.57861,28.35564,38.04778,42.33717,49.90621,54.22968,54.55885,51.56088,47.56265,45.73384,43.04797
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",84.18764,87.82828,92.92044,94.67601,96.55508,100.30122,104.51591,109.16721,112.79844,NA,56.4313,58.88202,60.00511,60.60361,60.34128,62.19477,64.05334,65.87956,67.77473,NA
"ARM",56.61935,58.03413,57.7082,49.85343,48.49313,50.08286,50.51742,57.11542,58.67676,62.64839,45.72026,47.59758,48.66689,42.1852,42.80576,43.92737,42.39126,45.01602,46.06831,47.1191
"ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATG",20.71307,24.15147,20.26235,34.28886,NA,NA,NA,NA,NA,NA,9.09091,9.00875,9.74637,15.26888,NA,NA,NA,NA,NA,NA
"AUS",NA,NA,NA,NA,NA,NA,140.95175,143.02353,133.33777,NA,NA,NA,NA,NA,NA,NA,97.5807,100.03649,93.83847,NA
"AUT",NA,NA,NA,NA,86.94741,86.27942,88.00541,90.82589,92.4615,NA,NA,NA,NA,NA,72.6608,72.34681,73.76899,76.44529,78.0511,NA
"AZE",18.93108,19.15638,19.80818,20.92553,22.62382,24.75323,27.48078,28.13302,29.03385,29.69345,19.1841,19.36225,19.49063,19.97292,20.32954,21.67637,23.64264,23.89231,25.27021,25.90973
"BDI",NA,2.29263,1.94214,2.47249,2.80636,2.54646,NA,3.51356,3.7548,NA,NA,4.22468,4.20683,5.09751,6.30732,7.75233,NA,8.19629,8.36978,NA
"BEL",72.61032,75.92278,78.31387,80.1438,81.53801,82.77246,84.66545,86.02862,90.46261,NA,58.13866,59.95715,61.60891,62.49104,62.96122,63.5087,64.76877,66.0998,69.28979,NA
"BEN",5.73935,7.18678,5.4883,7.14151,8.76919,8.50553,7.74509,7.64171,7.46639,NA,14.68724,20.30728,20.15385,20.69436,23.06981,23.29505,19.26952,18.16472,16.9937,NA
"BFA",2.29505,2.30869,2.73884,3.00833,3.13864,3.30469,3.46127,3.75034,4.09469,4.76497,4.74638,4.8193,5.51846,6.06914,6.37139,6.80111,6.62161,7.32116,7.85601,8.18674
"BGD",8.11878,NA,11.19707,11.55667,NA,11.74298,NA,14.68115,14.91033,16.98329,13.53788,NA,16.13323,15.994,NA,15.92644,NA,20.95333,21.27599,24.01696
"BGR",62.18039,66.09698,66.97068,69.00306,72.1017,75.57675,79.11971,79.28095,78.82418,NA,46.7547,49.96362,51.52648,54.13751,56.72589,60.01251,62.00355,63.69313,63.71405,NA
"BHR",NA,NA,57.5012,60.93734,57.90605,57.54474,59.30616,62.99215,64.26851,67.84063,NA,NA,33.60258,29.97971,25.87986,29.08769,30.94245,33.72034,33.9515,36.99245
"BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLR",89.1432,94.59196,101.82048,107.92172,108.1111,105.10836,102.6146,99.74855,98.34385,95.09214,60.55335,65.39163,71.35307,77.12176,79.79983,78.6589,77.24952,77.26039,79.09071,80.17624
"BLZ",27.9654,26.86474,27.30625,30.29557,30.03308,29.90883,28.67228,29.93244,30.48455,NA,16.8193,16.83063,16.46787,18.32519,18.29603,18.09842,17.83211,18.48695,18.81743,NA
"BMU",47.19807,41.37597,43.14968,42.1131,41.94037,36.93416,35.26949,NA,22.46104,22.90533,18.70192,20.11634,20.87805,21.16428,18.82177,19.69697,15.26289,NA,13.35759,15.28361
"BOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRA",42.16417,NA,49.34314,51.67467,53.86612,57.58743,58.50373,58.75485,59.44738,NA,31.90576,NA,37.57003,38.34047,39.86044,42.34205,43.6659,42.52997,43.52913,NA
"BRB",104.26209,95.81395,90.57161,NA,NA,NA,NA,NA,NA,NA,47.30798,43.89679,40.33463,NA,NA,NA,NA,NA,NA,NA
"BRN",21.67991,20.37801,22.48696,28.98388,32.0404,41.09151,39.92528,40.27507,42.00012,38.71807,12.16166,10.91779,12.74174,16.40326,17.25036,23.67862,23.40085,24.32432,25.92163,24.78856
"BTN",4.94325,5.51626,7.36334,7.91529,9.43436,NA,NA,NA,NA,15.49214,7.92479,8.84846,10.36558,10.98466,12.2484,NA,NA,NA,NA,15.61055
"BWA",NA,NA,NA,NA,NA,30.01804,34.61948,30.35431,29.24466,NA,NA,NA,NA,NA,NA,24.56857,25.82068,21.45258,20.48172,NA
"CAF",1.54665,1.3082,NA,1.60102,NA,NA,NA,NA,NA,NA,3.52578,4.03776,NA,4.36418,NA,NA,NA,NA,NA,NA
"CAN",73.92633,71.82283,73.63206,73.58981,74.91763,75.26596,74.48037,76.38456,79.29239,NA,52.796,52.04627,53.84628,54.81435,56.15423,56.37053,55.53108,56.98357,59.06871,NA
"CHE",50.34146,52.65946,54.25391,55.48953,56.61547,57.71653,58.53498,58.63094,60.32979,NA,49.95877,53.21018,54.7102,55.55059,55.93575,56.75972,56.90904,57.48347,58.82378,NA
"CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHL",62.75647,70.32853,75.75654,80.23166,84.24253,87.45525,89.94314,92.58558,94.66281,NA,59.12312,65.47506,68.90478,71.76283,75.80151,78.37948,80.73681,81.96105,82.46128,NA
"CHN",22.87581,24.95607,26.78327,30.26018,34.55895,45.75697,50.17866,52.7417,53.97915,55.88122,22.03863,23.49371,24.59831,27.31908,30.50321,39.43411,42.33761,43.81256,44.71566,45.92842
"CIV",5.72048,5.16145,2.72639,NA,6.2351,6.04756,6.90346,7.24935,7.6355,NA,11.01132,10.20128,4.12062,NA,10.24247,10.60092,10.70056,10.66311,11.06148,NA
"CMR",7.97536,10.00334,10.22344,11.41226,13.33969,14.25631,15.10736,11.68883,11.44435,NA,10.11319,12.30369,13.90974,14.76211,17.23155,18.29294,18.80599,13.26124,14.06749,NA
"COD",3.19054,NA,5.02359,5.87524,4.33428,NA,NA,4.73101,NA,NA,10.27764,NA,11.23838,10.64024,9.51943,NA,NA,8.46606,NA,NA
"COG",2.16834,NA,6.42889,7.71339,7.9931,NA,NA,NA,10.1462,NA,10.33306,NA,11.01244,12.28396,10.63824,NA,NA,NA,15.17202,NA
"COL",38.52225,41.34383,45.1512,48.16623,52.15952,55.21668,57.43417,59.74896,60.83253,59.72434,36.5479,37.54723,40.98465,42.54465,45.42249,47.74614,49.2762,51.3698,52.19238,51.09034
"COM",4.90223,4.92626,7.03765,8.05181,8.12646,8.04879,NA,NA,NA,NA,6.86658,6.61604,8.95091,9.30861,9.36989,9.91274,NA,NA,NA,NA
"CPV",17.45392,20.3214,23.87553,23.91381,27.2081,28.54298,27.45799,28.9306,29.34471,28.34652,12.95629,15.79387,17.64257,17.36779,18.78535,19.50478,18.77702,19.22659,19.61041,19.04477
"CRI",NA,NA,51.08759,53.54599,54.00439,57.8923,60.28377,59.41439,62.16411,60.68018,NA,NA,40.75368,42.88308,44.2059,46.79562,46.11328,48.09724,49.58878,49.95982
"CUB",143.19979,118.6249,101.22367,77.80103,62.12298,NA,42.50212,40.00702,50.50682,51.00784,86.2843,72.20578,61.67836,50.67987,37.24331,NA,30.16181,28.46138,29.95514,32.2829
"CUW",NA,NA,NA,NA,29.58909,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.99603,NA,NA,NA,NA,NA
"CYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYP",48.46208,45.62976,47.29882,49.71835,53.69162,62.59883,69.39547,73.41246,82.35413,NA,55.5818,50.87154,45.81109,42.16806,41.60205,44.1031,51.11182,60.91103,69.58511,NA
"CZE",71.04753,74.8885,77.27,77.35479,76.7636,76.91578,75.68125,74.81392,75.2737,NA,51.6659,53.63375,54.53499,54.62326,54.0085,54.88054,53.80164,53.18453,53.38812,NA
"DEU",NA,NA,NA,NA,59.43399,63.94287,67.04391,69.46286,70.70689,NA,NA,NA,NA,NA,63.23872,66.97768,68.40745,69.69071,69.81855,NA
"DJI",2.99078,3.08424,4.56802,NA,NA,NA,NA,NA,NA,NA,4.04339,4.0952,6.02587,NA,NA,NA,NA,NA,NA,NA
"DMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNK",88.40519,87.44201,90.58639,93.11795,94.50234,95.3399,96.29026,93.95383,93.57748,NA,60.7516,60.36312,63.56284,65.77358,68.02861,67.43602,68.69721,68.84727,68.35646,NA
"DOM",NA,NA,NA,59.82908,NA,60.91206,66.98925,69.95907,77.01242,NA,NA,NA,NA,37.50937,NA,37.82701,36.64897,39.18591,42.98214,NA
"DZA",35.32708,35.42107,37.07264,38.56113,40.87643,41.85668,45.04758,53.59891,57.24471,64.42081,24.66836,24.53242,25.53731,26.03504,27.1193,27.33998,28.78973,32.04778,38.41262,38.8317
"ECU",NA,NA,NA,45.33185,NA,NA,48.39747,NA,NA,NA,NA,NA,NA,34.47664,NA,NA,41.50698,NA,NA,NA
"EGY",28.87459,30.01423,25.52576,26.15459,28.37723,29.29898,34.32684,34.249,35.77688,NA,32.12291,32.75881,28.05342,29.23512,31.7875,32.76692,35.70168,33.48467,34.57846,NA
"ERI",1.31449,1.7827,NA,NA,NA,2.54506,2.73688,2.78561,NA,NA,4.0174,4.69226,NA,NA,NA,5.13792,4.20402,3.92878,NA,NA
"ESP",79.5756,84.16237,88.74741,90.69085,92.07241,93.49333,93.2418,94.41169,97.02816,NA,64.00521,68.09579,71.80545,74.29729,75.80396,77.79098,78.34086,78.98772,81.05325,NA
"EST",85.19986,85.852,86.85179,88.40093,89.13724,88.72938,87.47979,86.44786,84.82447,NA,49.19819,51.61741,54.90923,57.3214,59.60236,58.77691,57.74015,57.21571,55.41608,NA
"ETH",3.28954,4.49457,4.78586,5.21049,NA,5.26314,NA,NA,NA,NA,7.45378,10.4595,10.95527,11.19761,NA,10.892,NA,NA,NA,NA
"FIN",101.06711,103.07247,105.00136,101.96106,99.76842,97.26281,95.81939,94.50517,95.7475,NA,81.97696,84.27249,85.30917,84.18814,82.57925,80.82491,79.8463,79.73755,80.95853,NA
"FJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRA",59.162,61.24571,61.97702,64.59659,66.50814,68.3063,69.71964,71.7322,72.78425,NA,46.57019,48.70747,49.47343,51.44333,53.42694,54.95664,56.10227,57.97096,58.72575,NA
"FRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
