"Pais","Promedio Alfabetización 2009-2019","Promedio Educación 2009-2019"
"ABW","97.31503",33.2
"AFG","37.38042",2.9
"AGO","66.03011",6.8
"ALB","97.41114",65.4
"ARG","99.06407",98.1
"ARM","99.74024",55
"ATG","98.95",24.9
"AUS","97.8",139.1
"AUT","98.9",88.9
"AZE","99.7814533333333",24.1
"BDI","64.97253",2.8
"BEL","98.2",81.4
"BEN","37.65561",7.3
"BFA","37.911925",3.3
"BGD","65.42999875",12.7
"BGR","98.35245",72.1
"BHR","95.72804",61
"BIH","97.566905",59.4
"BLR","99.68681",100.2
"BOL","92.8455144444444",40.5
"BRA","91.779981",53.9
"BRB","99.6",96.9
"BRN","96.649835",32.8
"BTN","61.797375",8.4
"BWA","86.82318",31.1
"CAF","37.074215",1.5
"CHE","98.7",56.1
"CHL","96.960032",82
"CHN","95.982685",39.8
"CIV","44.0184666666667",6
"CMR","74.180775",11.7
"COD","76.029935",4.6
"COG","79.804965",6.9
"COL","94.0536014285714",51.8
"COM","54.00658",6.8
"CPV","86.05904",25.5
"CRI","97.635185",57.4
"CUB","99.75253",76.3
"CYP","98.67843",59.2
"DEU","98.1",66.1
"DOM","91.1702671428571",66.9
"DZA","81.40784",44.9
"ECU","92.98982",46.9
"EGY","73.035605",30.3
"ERI","76.57052",2.2
"ESP","98.0121755555556",90.4
"EST","99.88579",87
"ETH","51.77118",4.6
"FIN","99.8",99.4
"FRA","94.1",66.2
"GAB","83.35032",6.5
"GEO","99.475225",48.8
"GHA","75.268355",11.2
"GIN","28.65579",5.8
"GMB","46.36401",2.1
"GRC","96.4032666666667",121.5
"GRD","98.6",102.5
"GTM","78.8631433333333",20.9
"GUY","85.31687",15.6
"HND","86.49946375",24.4
"HRV","99.12536",71.2
"HTI","57.7971166666667",3.4
"HUN","99.1",64
"IDN","94.4605483333333",31.6
"IND","71.837775",23.1
"IRL","93.35",73.3
"IRN","84.62557",54.7
"IRQ","80.2",8.3
"ITA","99.00202",74.2
"JAM","88.1",36.6
"JOR","96.14323",39.1
"JPN","95.6",86
"KAZ","99.7652233333333",56.3
"KEN","80.134005",7.5
"KGZ","99.414715",49.7
"KHM","77.49387",11.2
"KOR","96.8",83.7
"KWT","95.557645",76.1
"LAO","71.47449",16.1
"LBR","48.30136",7.9
"LKA","91.7934575",22.1
"LSO","76.2177",12.9
"LTU","99.8156",92.3
"LVA","99.892605",90.2
"MAC","96.089265",72.9
"MAR","66.5858075",23.6
"MDA","99.2491",46
"MDG","70.28595",4.3
"MDV","98.172535",39.9
"MEX","94.246252",31.4
"MHL","98.26508",23.8
"MKD","97.8",43.6
"MLI","33.3008375",3.3
"MLT","93.905275",50.6
"MMR","75.5512",17.7
"MNE","98.644695",61.8
"MNG","98.34006",71.7
"MOZ","55.7594133333333",4.9
"MRT","53.49759",3.1
"MUS","91.7387814285714",42
"MWI","62.86621",0.6
"MYS","94.1974125",45.8
"NAM","89.90095",27.1
"NER","30.56039",1.6
"NGA","62.01601",8.2
"NIC","81.87885",36.5
"NLD","98.7",79.2
"NPL","63.76784",12.2
"OMN","93.0143883333333",44.8
"PAK","56.2106257142857",8.6
"PAN","94.752965",54.7
"PER","94.0739283333333",73.1
"PHL","97.290275",35.9
"PLW","98.048435",66.4
"POL","94.95",86.1
"PRI","92.177615",109.2
"PRT","95.30732",69.9
"PRY","94.517795",42.3
"PSE","96.0286111111111",55.1
"QAT","92.658754",38.8
"ROU","98.724395",60.4
"RUS","99.707165",87
"RWA","69.550755",6.2
"SAU","94.877485",54.2
"SDN","60.69718",17.1
"SEN","49.1162525",7.7
"SGP","96.6777922222222",90.9
"SLE","34.908125",5.5
"SLV","86.80751375",29
"SMR","99.91643",58.1
"SRB","98.40196",65.5
"STP","91.47987",7.7
"SVN","99.7",100.6
"SWZ","85.758835",6.8
"SYC","94.91097",14.5
"TCD","24.15727",0.9
"TGO","60.4163133333333",7.1
"THA","94.1922625",57.1
"TJK","99.8",18.9
"TKM","99.7",6.2
"TLS","63.187905",14.2
"TUN","79.5099175",42.9
"TUR","94.731873",59.6
"TZA","74.5961733333333",2.5
"UGA","73.3125333333333",3.7
"UKR","99.97435",89.1
"URY","98.42765",97.4
"USA","95.8",104.9
"UZB","99.98774",6.9
"VNM","94.260415",26.4
"ZAF","92.59404",24
"ZMB","84.877815",2.9
"ZWE","86.138065",6.5
